[(0,0),(8,8)]
Line: (6,6):(5.6,5.6)
Line: (5.6,5.6):(5,6)
Line: (5.6,5.6):(5.8,5)
Line: (6,6):(5.6,6.4)
Line: (5.6,6.4):(5,6)
Line: (5.6,6.4):(5.8,7)
Line: (6,8):(5.6,7.6)
Line: (5.6,7.6):(5,8)
Line: (5.6,7.6):(5.8,7)
Line: (6,0):(6.4,0.4)
Line: (6.4,0.4):(7,0)
Line: (6.4,0.4):(6.2,1)
Line: (6,2):(6.4,1.6)
Line: (6.4,1.6):(7,2)
Line: (6.4,1.6):(6.2,1)
Line: (6,2):(6.4,2.4)
Line: (6.4,2.4):(7,2)
Line: (6.4,2.4):(6.2,3)
Line: (6,4):(6.4,3.6)
Line: (6.4,3.6):(7,4)
Line: (6.4,3.6):(6.2,3)
Line: (6,4):(6.4,4.4)
Line: (6.4,4.4):(7,4)
Line: (6.4,4.4):(6.2,5)
Line: (6,6):(6.4,5.6)
Line: (6.4,5.6):(7,6)
Line: (6.4,5.6):(6.2,5)
Line: (6,6):(6.4,6.4)
Line: (6.4,6.4):(7,6)
Line: (6.4,6.4):(6.2,7)
Line: (6,8):(6.4,7.6)
Line: (6.4,7.6):(7,8)
Line: (6.4,7.6):(6.2,7)
Line: (8,0):(7.6,0.4)
Line: (7.6,0.4):(7,0)
Line: (7.6,0.4):(7.8,1)
Line: (8,2):(7.6,1.6)
Line: (7.6,1.6):(7,2)
Line: (7.6,1.6):(7.8,1)
Line: (8,2):(7.6,2.4)
Line: (7.6,2.4):(7,2)
Line: (7.6,2.4):(7.8,3)
Line: (8,4):(7.6,3.6)
Line: (7.6,3.6):(7,4)
Line: (7.6,3.6):(7.8,3)
Line: (8,4):(7.6,4.4)
Line: (7.6,4.4):(7,4)
Line: (7.6,4.4):(7.8,5)
Line: (8,6):(7.6,5.6)
Line: (7.6,5.6):(7,6)
Line: (7.6,5.6):(7.8,5)
Line: (8,6):(7.6,6.4)
Line: (7.6,6.4):(7,6)
Line: (7.6,6.4):(7.8,7)
Line: (8,8):(7.6,7.6)
Line: (7.6,7.6):(7,8)
Line: (7.6,7.6):(7.8,7)

