route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_desc,route_short_name
MAX Express,961,3,,,,http://www.gohrt.com/routes/route-961.pdf,Newport News-Hampton to Norfolk,961
MAX Express,962,3,,,,http://www.gohrt.com/routes/route-962.pdf,Suffolk-Chesapeake-Portsmouth to Norfolk,962
WILLIAMSBURG,121,3,,,,http://www.gohrt.com/routes/route-121.pdf,Newport News Transportation Center/Williamsburg,121
MAX Express,960,3,,,,http://www.gohrt.com/routes/route-960.pdf,Virginia Beach to Norfolk,960
PRINCESS ANNE RD,023,3,,,,http://www.gohrt.com/routes/route-23.pdf,Medical Tower/Military Circle/JANAF ,23
GRANBY ST,001,3,,,,http://www.gohrt.com/routes/route-1.pdf,Downtown Norfolk Pembroke East ,1
LASKIN RD,024,3,,,,http://www.gohrt.com/routes/route-24.pdf,Downtown Norfolk/Fort Story ,24
CHESAPEAKE BLVD,003,3,,,,http://www.gohrt.com/routes/route-3.pdf,Downtown Norfolk/Naval Station ,3
MALL HALL LOOP,116,3,,,,http://www.gohrt.com/routes/route-116.pdf,(Mall Hall) Lee Hall/Patrick Henry Mall Loop ,116
WEAVER ROAD,114,3,,,,http://www.gohrt.com/routes/route-114.pdf,(Weaver Rd.) Newmarket/Downtown Hampton ,114
BAINBRIDGE BLVD,058,3,,,,http://www.gohrt.com/routes/route-58.pdf,South Norfolk/Bainbridge Boulevard ,58
MAX Express,922,3,,,,http://www.gohrt.com/routes/route-922.pdf,Chesapeake-Virginia Beach to Naval Station Norfolk,922
The Tide LRT,800,0,,,,http://www.ridethetide.com/map-schedule/tide-map-schedule/,Eastern Virginia Medical Center/Newtown Road ,800
RIVERSIDE,111,3,,,,http://www.gohrt.com/routes/route-111.pdf,(Denbigh TNCC) Thomas Nelson/Riverside/Denbigh ,111
THOMAS NELSON CC,110,3,,,,http://www.gohrt.com/routes/route-110.pdf,(Thomas Nelson) Downtown Hampton/Thomas Nelson ,110
